state,date,cases
Washington,1/21/2020,1
Washington,1/22/2020,1
Washington,1/23/2020,1
Washington,1/24/2020,1
Washington,1/25/2020,1
Washington,1/26/2020,1
Washington,1/27/2020,1
Washington,1/28/2020,1
Washington,1/29/2020,1
Washington,1/30/2020,1
Washington,1/31/2020,1
Washington,2/1/2020,1
Washington,2/2/2020,1
Washington,2/3/2020,1
Washington,2/4/2020,1
Washington,2/5/2020,1
Washington,2/6/2020,1
Washington,2/7/2020,1
Washington,2/8/2020,1
Washington,2/9/2020,1
Washington,2/10/2020,1
Washington,2/11/2020,1
Texas,2/12/2020,1
Washington,2/12/2020,1
Texas,2/13/2020,2
Washington,2/13/2020,1
Texas,2/14/2020,2
Washington,2/14/2020,1
Texas,2/15/2020,2
Washington,2/15/2020,1
Texas,2/16/2020,2
Washington,2/16/2020,1
Texas,2/17/2020,2
Washington,2/17/2020,1
Texas,2/18/2020,2
Washington,2/18/2020,1
Texas,2/19/2020,2
Washington,2/19/2020,1
Texas,2/20/2020,2
Washington,2/20/2020,1
Texas,2/21/2020,4
Washington,2/21/2020,1
Texas,2/22/2020,4
Washington,2/22/2020,1
Texas,2/23/2020,4
Washington,2/23/2020,1
Texas,2/24/2020,10
Washington,2/24/2020,1
Washington,2/24/2020,4
Texas,2/25/2020,10
Washington,2/25/2020,1
Washington,2/25/2020,4
Texas,2/26/2020,10
Washington,2/26/2020,1
Washington,2/26/2020,4
Texas,2/27/2020,10
Washington,2/27/2020,1
Washington,2/27/2020,4
Texas,2/28/2020,11
Washington,2/28/2020,1
Washington,2/28/2020,2
Washington,2/28/2020,4
Texas,2/29/2020,11
Washington,2/29/2020,4
Washington,2/29/2020,2
Washington,2/29/2020,4
Texas,3/1/2020,11
Washington,3/1/2020,11
Washington,3/1/2020,2
Washington,3/1/2020,4
Georgia,3/2/2020,2
Texas,3/2/2020,11
Washington,3/2/2020,15
Washington,3/2/2020,3
Washington,3/2/2020,4
Washington,3/2/2020,1
Georgia,3/3/2020,2
Texas,3/3/2020,11
Washington,3/3/2020,22
Washington,3/3/2020,5
Washington,3/3/2020,4
Washington,3/3/2020,1
Georgia,3/4/2020,2
Texas,3/4/2020,11
Texas,3/4/2020,1
Washington,3/4/2020,1
Washington,3/4/2020,33
Washington,3/4/2020,8
Washington,3/4/2020,4
Washington,3/4/2020,1
